Game,Publisher,TotalSales,NASales,PALSales,JPSales,OtherSales,ReleaseDate,LinkToPage
Mortal Kombat (2011),Warner Bros. Interactive Entertainment,2.90m,1.98m,0.54m,N/A,0.38m,19th Apr 11,https://www.vgchartz.com/games/game.php?id=70434&region=All
World Soccer Winning Eleven 7 International,Konami,2.90m,0.08m,1.24m,1.13m,0.45m,17th Feb 04,https://www.vgchartz.com/games/game.php?id=17046&region=All
Sega Superstars Tennis,Sega,2.89m,1.75m,0.86m,N/A,0.28m,18th Mar 08,https://www.vgchartz.com/games/game.php?id=14444&region=All
Cooking Mama: Cook Off,Majesco,2.89m,1.41m,1.12m,0.05m,0.30m,20th Mar 07,https://www.vgchartz.com/games/game.php?id=3015&region=All
Hot Shots Golf 3,Sony Computer Entertainment,2.89m,0.99m,0.32m,1.38m,0.20m,11th Mar 02,https://www.vgchartz.com/games/game.php?id=990&region=All
WarioWare: Smooth Moves,Nintendo,2.89m,0.86m,1.05m,0.73m,0.26m,15th Jan 07,https://www.vgchartz.com/games/game.php?id=6151&region=All
Call of Duty: Finest Hour,Activision,2.89m,1.51m,1.12m,0.01m,0.24m,16th Nov 04,https://www.vgchartz.com/games/game.php?id=4937&region=All
Syphon Filter,989 Studios,2.88m,2.03m,0.72m,0.02m,0.11m,31st Jan 99,https://www.vgchartz.com/games/game.php?id=2311&region=All
Imagine: Babyz,Ubisoft,2.87m,1.30m,1.26m,N/A,0.31m,23rd Oct 07,https://www.vgchartz.com/games/game.php?id=13430&region=All
Mafia III,2K Games,2.87m,0.72m,1.67m,0.04m,0.44m,07th Oct 16,https://www.vgchartz.com/games/game.php?id=85862&region=All
Colin McRae Rally,Sony Computer Entertainment,2.87m,0.09m,2.43m,0.12m,0.22m,31st Jan 00,https://www.vgchartz.com/games/game.php?id=6208&region=All
The Elder Scrolls III: Morrowind,Bethesda Softworks,2.86m,2.09m,0.63m,0.03m,0.11m,06th Jun 02,https://www.vgchartz.com/games/game.php?id=635&region=All
Assassin's Creed: Brotherhood,Ubisoft,2.85m,1.87m,0.57m,0.11m,0.30m,16th Nov 10,https://www.vgchartz.com/games/game.php?id=45053&region=All
Command & Conquer: Red Alert,Virgin Interactive,2.85m,1.37m,1.34m,N/A,0.14m,01st Nov 96,https://www.vgchartz.com/games/game.php?id=6211&region=All
F-Zero,Nintendo,2.85m,1.37m,0.51m,0.89m,0.07m,13th Aug 91,https://www.vgchartz.com/games/game.php?id=3235&region=All
Yoshi's Story,Nintendo,2.85m,1.29m,0.53m,0.98m,0.05m,01st Mar 98,https://www.vgchartz.com/games/game.php?id=2781&region=All
Zumba Fitness 2,Majesco,2.83m,1.52m,1.05m,N/A,0.26m,15th Nov 11,https://www.vgchartz.com/games/game.php?id=51188&region=All
Madden NFL 10,EA Sports,2.83m,2.52m,0.09m,N/A,0.22m,14th Aug 09,https://www.vgchartz.com/games/game.php?id=33189&region=All
BioShock,2K Games,2.83m,1.65m,0.85m,0.05m,0.28m,21st Aug 07,https://www.vgchartz.com/games/game.php?id=7023&region=All
WWE SmackDown! vs. Raw,THQ,2.83m,1.32m,1.08m,0.04m,0.39m,02nd Nov 04,https://www.vgchartz.com/games/game.php?id=6534&region=All
Metroid Prime,Nintendo,2.82m,1.96m,0.67m,0.10m,0.09m,17th Nov 02,https://www.vgchartz.com/games/game.php?id=1339&region=All
Finding Nemo,THQ,2.82m,1.59m,1.05m,0.04m,0.14m,10th May 03,https://www.vgchartz.com/games/game.php?id=6223&region=All
Medal of Honor,Electronic Arts,2.82m,1.28m,1.04m,0.07m,0.43m,12th Oct 10,https://www.vgchartz.com/games/game.php?id=41325&region=All
Diablo III: Ultimate Evil Edition,Blizzard Entertainment,2.82m,0.83m,1.48m,0.08m,0.44m,19th Aug 14,https://www.vgchartz.com/games/game.php?id=71538&region=All
Gran Turismo (PSP),Sony Computer Entertainment,2.82m,0.43m,0.91m,0.31m,1.16m,01st Oct 09,https://www.vgchartz.com/games/game.php?id=39660&region=All
Monster Hunter 3G,Capcom,2.82m,0.46m,0.32m,1.96m,0.08m,19th Mar 13,https://www.vgchartz.com/games/game.php?id=62700&region=All
Myst,Broderbund,2.81m,0.02m,2.79m,N/A,N/A,01st Jan 95,https://www.vgchartz.com/games/game.php?id=6359&region=All
Need for Speed: Hot Pursuit,Electronic Arts,2.81m,1.05m,1.24m,0.03m,0.49m,16th Nov 10,https://www.vgchartz.com/games/game.php?id=45649&region=All
Imagine: Fashion Designer,Ubisoft,2.81m,1.32m,1.19m,N/A,0.30m,23rd Oct 07,https://www.vgchartz.com/games/game.php?id=12867&region=All
Killzone 3,Sony Computer Entertainment,2.81m,1.46m,0.87m,0.09m,0.38m,22nd Feb 11,https://www.vgchartz.com/games/game.php?id=33543&region=All
WWE SmackDown! Here Comes the Pain,THQ,2.80m,1.32m,1.06m,0.04m,0.38m,27th Oct 03,https://www.vgchartz.com/games/game.php?id=6536&region=All
Hot Shots Golf,Sony Computer Entertainment,2.79m,0.29m,0.20m,2.13m,0.18m,05th May 98,https://www.vgchartz.com/games/game.php?id=3222&region=All
Skylanders: Spyro's Adventure,Activision,2.79m,1.35m,1.15m,N/A,0.30m,16th Oct 11,https://www.vgchartz.com/games/game.php?id=50151&region=All
A Bug's Life,Sony Computer Entertainment,2.79m,1.96m,0.72m,N/A,0.11m,31st Oct 98,https://www.vgchartz.com/games/game.php?id=6192&region=All
WWF SmackDown! Just Bring It,THQ,2.79m,1.19m,1.15m,0.04m,0.41m,18th Nov 01,https://www.vgchartz.com/games/game.php?id=2744&region=All
Dragon Quest V: Tenkuu no Hanayome,Enix,2.79m,N/A,N/A,2.78m,0.01m,27th Sep 92,https://www.vgchartz.com/games/game.php?id=3146&region=All
Mortal Kombat Trilogy,Midway Games,2.79m,1.98m,0.70m,N/A,0.11m,01st Sep 96,https://www.vgchartz.com/games/game.php?id=5383&region=All
NBA Street,EA Sports BIG,2.79m,2.19m,0.22m,N/A,0.38m,18th Jun 01,https://www.vgchartz.com/games/game.php?id=5459&region=All
Jak II,Sony Computer Entertainment,2.78m,1.68m,0.74m,N/A,0.36m,14th Oct 03,https://www.vgchartz.com/games/game.php?id=1045&region=All
Ratchet & Clank: Going Commando,Sony Computer Entertainment,2.78m,1.44m,0.83m,0.26m,0.25m,11th Nov 03,https://www.vgchartz.com/games/game.php?id=6405&region=All
The Sims,Electronic Arts,2.77m,1.41m,1.12m,N/A,0.24m,12th Jan 03,https://www.vgchartz.com/games/game.php?id=5844&region=All
Star Wars: The Force Unleashed,LucasArts,2.77m,1.74m,0.78m,N/A,0.26m,16th Sep 08,https://www.vgchartz.com/games/game.php?id=13961&region=All
Saints Row: The Third,THQ,2.77m,1.26m,1.14m,0.07m,0.30m,15th Nov 11,https://www.vgchartz.com/games/game.php?id=33324&region=All
Yoshi's Island DS,Nintendo,2.77m,1.45m,0.07m,1.10m,0.15m,13th Nov 06,https://www.vgchartz.com/games/game.php?id=4771&region=All
Tekken 6,Namco Bandai,2.77m,1.20m,0.97m,0.17m,0.42m,27th Oct 09,https://www.vgchartz.com/games/game.php?id=13114&region=All
Missile Command,Atari,2.76m,2.56m,0.17m,N/A,0.03m,01st Jan 81,https://www.vgchartz.com/games/game.php?id=19709&region=All
Battlefield 3,Electronic Arts,2.76m,0.89m,1.44m,N/A,0.43m,25th Oct 11,https://www.vgchartz.com/games/game.php?id=35315&region=All
Mario Paint,Nintendo,2.75m,1.43m,0.54m,0.71m,0.07m,05th May 92,https://www.vgchartz.com/games/game.php?id=3716&region=All
Sonic and the Secret Rings,Sega,2.75m,1.23m,1.19m,0.04m,0.30m,20th Feb 07,https://www.vgchartz.com/games/game.php?id=2104&region=All
Need for Speed: Most Wanted (2012),Electronic Arts,2.74m,0.71m,1.52m,0.06m,0.45m,30th Oct 12,https://www.vgchartz.com/games/game.php?id=70934&region=All
Pokémon Stadium 2,Nintendo,2.73m,1.02m,0.36m,1.13m,0.23m,28th Mar 01,https://www.vgchartz.com/games/game.php?id=1768&region=All
L.A. Noire,Rockstar Games,2.73m,1.55m,0.92m,0.02m,0.24m,15th Nov 11,https://www.vgchartz.com/games/game.php?id=47563&region=All
Metroid,Nintendo,2.73m,1.33m,0.31m,1.04m,0.05m,15th Aug 87,https://www.vgchartz.com/games/game.php?id=6343&region=All
Far Cry: Primal,Ubisoft,2.73m,0.63m,1.61m,0.07m,0.41m,23rd Feb 16,https://www.vgchartz.com/games/game.php?id=85944&region=All
Overwatch,Blizzard Entertainment,2.72m,1.63m,0.84m,N/A,0.25m,24th May 16,https://www.vgchartz.com/games/game.php?id=86156&region=All
Need for Speed (2015),Electronic Arts,2.72m,0.59m,1.66m,0.06m,0.41m,03rd Nov 15,https://www.vgchartz.com/games/game.php?id=85621&region=All
Madden NFL 13,EA Sports,2.71m,2.12m,0.24m,N/A,0.36m,28th Aug 12,https://www.vgchartz.com/games/game.php?id=70677&region=All
Skate 3,EA Sports,2.71m,1.47m,0.99m,N/A,0.25m,11th May 10,https://www.vgchartz.com/games/game.php?id=39125&region=All
Tom Clancy's Rainbow Six: Siege,Ubisoft,2.71m,1.62m,0.84m,N/A,0.25m,01st Dec 15,https://www.vgchartz.com/games/game.php?id=82932&region=All
The Legend of Zelda: A Link to the Past,Nintendo,2.70m,1.75m,0.52m,0.33m,0.10m,03rd Dec 02,https://www.vgchartz.com/games/game.php?id=4567&region=All
Onimusha: Warlords,Capcom,2.70m,0.99m,0.48m,1.09m,0.14m,13th Mar 01,https://www.vgchartz.com/games/game.php?id=3954&region=All
Madden NFL 12,EA Sports,2.70m,2.43m,0.11m,N/A,0.16m,30th Aug 11,https://www.vgchartz.com/games/game.php?id=50440&region=All
Mario Party,Nintendo,2.70m,1.25m,0.53m,0.87m,0.05m,08th Feb 99,https://www.vgchartz.com/games/game.php?id=1256&region=All
Call of Duty 3,Activision,2.70m,1.49m,0.92m,0.02m,0.27m,07th Nov 06,https://www.vgchartz.com/games/game.php?id=2966&region=All
LEGO Star Wars II: The Original Trilogy,LucasArts,2.69m,1.85m,0.64m,0.01m,0.19m,12th Sep 06,https://www.vgchartz.com/games/game.php?id=5267&region=All
Madden NFL 11,EA Sports,2.69m,2.38m,0.12m,N/A,0.19m,10th Aug 10,https://www.vgchartz.com/games/game.php?id=43128&region=All
Burnout 3: Takedown,Electronic Arts,2.68m,1.23m,1.11m,N/A,0.34m,07th Sep 04,https://www.vgchartz.com/games/game.php?id=4915&region=All
Professor Layton and the Last Specter,Nintendo,2.68m,0.28m,1.41m,0.68m,0.32m,17th Oct 11,https://www.vgchartz.com/games/game.php?id=36335&region=All
Mario vs. Donkey Kong: Mini-Land Mayhem!,Nintendo,2.68m,1.63m,0.51m,0.35m,0.18m,14th Nov 10,https://www.vgchartz.com/games/game.php?id=45675&region=All
Mortal Kombat,Arena Entertainment,2.67m,1.95m,0.63m,N/A,0.09m,13th Sep 93,https://www.vgchartz.com/games/game.php?id=6353&region=All
Halo Wars,Microsoft Game Studios,2.67m,1.58m,0.80m,0.04m,0.25m,03rd Mar 09,https://www.vgchartz.com/games/game.php?id=7715&region=All
Call of Duty 2: Big Red One,Activision,2.67m,1.48m,0.92m,0.01m,0.26m,01st Nov 05,https://www.vgchartz.com/games/game.php?id=4932&region=All
Medal of Honor,Electronic Arts,2.67m,1.44m,1.09m,N/A,0.14m,11th Nov 99,https://www.vgchartz.com/games/game.php?id=1294&region=All
Fable,Microsoft Game Studios,2.66m,1.99m,0.58m,N/A,0.09m,14th Sep 04,https://www.vgchartz.com/games/game.php?id=703&region=All
Guitar Hero: World Tour,Activision,2.66m,1.78m,0.64m,N/A,0.25m,26th Oct 08,https://www.vgchartz.com/games/game.php?id=23199&region=All
WWE SmackDown! Shut Your Mouth,THQ,2.66m,1.32m,1.29m,0.04m,N/A,31st Oct 02,https://www.vgchartz.com/games/game.php?id=2751&region=All
Final Fantasy XIII-2,Square Enix,2.66m,0.78m,0.75m,0.89m,0.23m,31st Jan 12,https://www.vgchartz.com/games/game.php?id=49773&region=All
Medal of Honor Heroes,Electronic Arts,2.66m,0.86m,1.11m,0.01m,0.67m,20th Oct 06,https://www.vgchartz.com/games/game.php?id=1297&region=All
Hannah Montana,Buena Vista,2.65m,1.59m,0.80m,N/A,0.26m,10th Oct 06,https://www.vgchartz.com/games/game.php?id=944&region=All
Need for Speed: Shift,Electronic Arts,2.65m,0.69m,1.40m,0.04m,0.52m,15th Sep 09,https://www.vgchartz.com/games/game.php?id=31147&region=All
Tom Clancy's Splinter Cell,Ubisoft,2.65m,1.15m,1.11m,N/A,0.40m,08th Apr 03,https://www.vgchartz.com/games/game.php?id=5897&region=All
Super Mario Bros. 2 (FDS),Nintendo,2.65m,N/A,N/A,2.65m,0.00m,03rd Jun 86,https://www.vgchartz.com/games/game.php?id=6456&region=All
Star Wars: Shadows of the Empire,Nintendo,2.65m,2.00m,0.50m,0.12m,0.03m,03rd Dec 96,https://www.vgchartz.com/games/game.php?id=2215&region=All
Medal of Honor,Electronic Arts,2.64m,1.58m,0.80m,0.04m,0.22m,12th Oct 10,https://www.vgchartz.com/games/game.php?id=41326&region=All
NBA 2K12,2K Sports,2.64m,2.32m,0.14m,0.01m,0.17m,04th Oct 11,https://www.vgchartz.com/games/game.php?id=50999&region=All
Midnight Club: Street Racing,Rockstar Games,2.63m,2.00m,0.47m,0.02m,0.14m,25th Oct 00,https://www.vgchartz.com/games/game.php?id=6346&region=All
NBA 2K13,2K Sports,2.63m,1.74m,0.46m,0.05m,0.39m,02nd Oct 12,https://www.vgchartz.com/games/game.php?id=70742&region=All
NBA 2K19,2K Sports,2.63m,1.69m,0.44m,0.03m,0.47m,11th Sep 18,https://www.vgchartz.com/games/game.php?id=222084&region=All
ESPN NFL 2K5,Sega,2.62m,2.15m,0.12m,N/A,0.36m,20th Jul 04,https://www.vgchartz.com/games/game.php?id=5055&region=All
Tekken: Dark Resurrection,Namco Bandai,2.62m,0.76m,1.10m,0.12m,0.65m,25th Jul 06,https://www.vgchartz.com/games/game.php?id=2347&region=All
Madden NFL 18,EA Sports,2.62m,1.73m,0.42m,N/A,0.47m,25th Aug 17,https://www.vgchartz.com/games/game.php?id=158152&region=All
FIFA Soccer 10,EA Sports,2.62m,0.60m,1.79m,0.01m,0.23m,20th Oct 09,https://www.vgchartz.com/games/game.php?id=35354&region=All
Super Mario All-Stars: Limited Edition,Nintendo,2.62m,1.04m,0.52m,0.92m,0.14m,12th Dec 10,https://www.vgchartz.com/games/game.php?id=47092&region=All
LittleBigPlanet,Sony Computer Entertainment,2.61m,0.65m,1.27m,0.01m,0.68m,17th Nov 09,https://www.vgchartz.com/games/game.php?id=32174&region=All
Harry Potter and the Chamber of Secrets,Electronic Arts,2.61m,0.90m,1.22m,0.04m,0.44m,14th Nov 02,https://www.vgchartz.com/games/game.php?id=19251&region=All
God of War Collection,Sony Computer Entertainment,2.60m,1.70m,0.45m,0.06m,0.40m,17th Nov 09,https://www.vgchartz.com/games/game.php?id=38409&region=All
Streets of Rage,Sega,2.60m,1.86m,0.55m,0.11m,0.08m,31st Dec 90,https://www.vgchartz.com/games/game.php?id=6453&region=All
Grand Theft Auto: Episodes from Liberty City,Rockstar Games,2.60m,1.08m,1.22m,0.03m,0.27m,29th Oct 09,https://www.vgchartz.com/games/game.php?id=34859&region=All
LEGO Star Wars: The Complete Saga,LucasArts,2.59m,1.53m,0.83m,N/A,0.24m,06th Nov 07,https://www.vgchartz.com/games/game.php?id=12539&region=All
Mario + Rabbids: Kingdom Battle,Ubisoft,2.59m,1.10m,1.08m,0.22m,0.20m,29th Aug 17,https://www.vgchartz.com/games/game.php?id=181862&region=All
Tom Clancy's The Division,Ubisoft,2.59m,1.54m,0.82m,N/A,0.24m,08th Mar 16,https://www.vgchartz.com/games/game.php?id=73094&region=All
FIFA Soccer 09,Electronic Arts,2.59m,0.49m,1.63m,0.04m,0.43m,14th Oct 08,https://www.vgchartz.com/games/game.php?id=25801&region=All
Mario Strikers Charged,Nintendo,2.59m,1.05m,1.05m,0.24m,0.24m,30th Jul 07,https://www.vgchartz.com/games/game.php?id=6976&region=All
NBA Live 2005,EA Sports,2.59m,2.03m,0.21m,N/A,0.35m,28th Sep 04,https://www.vgchartz.com/games/game.php?id=5456&region=All
Style Savvy,Nintendo,2.58m,0.62m,0.82m,0.96m,0.18m,02nd Nov 09,https://www.vgchartz.com/games/game.php?id=28294&region=All
Monster Hunter Freedom 2,Capcom,2.58m,0.37m,0.27m,1.75m,0.18m,29th Aug 07,https://www.vgchartz.com/games/game.php?id=3837&region=All
WWE SmackDown vs. RAW 2007,THQ,2.58m,1.40m,0.88m,0.03m,0.26m,14th Nov 06,https://www.vgchartz.com/games/game.php?id=2741&region=All
Skylanders Giants,Activision,2.58m,1.49m,0.86m,N/A,0.23m,21st Oct 12,https://www.vgchartz.com/games/game.php?id=71070&region=All
Ratchet & Clank: Up Your Arsenal,Sony Computer Entertainment,2.57m,1.31m,0.74m,0.31m,0.22m,03rd Nov 04,https://www.vgchartz.com/games/game.php?id=6406&region=All
Madden NFL 08,EA Sports,2.57m,2.14m,0.08m,N/A,0.35m,14th Aug 07,https://www.vgchartz.com/games/game.php?id=7176&region=All
NBA 2K14,2K Sports,2.57m,2.11m,0.19m,0.00m,0.27m,11th Oct 13,https://www.vgchartz.com/games/game.php?id=72228&region=All
Ratchet & Clank Future: Tools of Destruction,Sony Computer Entertainment,2.57m,0.93m,1.10m,0.08m,0.45m,23rd Oct 07,https://www.vgchartz.com/games/game.php?id=7256&region=All
Hot Shots Golf,Sony Computer Entertainment,2.56m,0.26m,0.17m,2.13m,N/A,05th May 98,https://www.vgchartz.com/games/game.php?id=988&region=All
Sonic Adventure 2 Battle,Sega,2.56m,1.70m,0.59m,0.21m,0.07m,11th Feb 02,https://www.vgchartz.com/games/game.php?id=4343&region=All
Dragon Age: Origins,Electronic Arts,2.56m,1.76m,0.55m,0.03m,0.22m,03rd Nov 09,https://www.vgchartz.com/games/game.php?id=33505&region=All
Dragon Quest II,Enix,2.56m,0.15m,N/A,2.41m,0.00m,01st Sep 90,https://www.vgchartz.com/games/game.php?id=6238&region=All
Yokai Watch,Nintendo,2.55m,0.44m,0.68m,1.34m,0.09m,06th Nov 15,https://www.vgchartz.com/games/game.php?id=72232&region=All
FIFA 16,EA Sports,2.55m,0.43m,1.68m,0.05m,0.38m,22nd Sep 15,https://www.vgchartz.com/games/game.php?id=85615&region=All
Pokémon Colosseum,Nintendo,2.54m,1.21m,0.57m,0.70m,0.07m,22nd Mar 04,https://www.vgchartz.com/games/game.php?id=1761&region=All
Madden NFL 09,EA Sports,2.54m,2.21m,0.12m,N/A,0.20m,12th Aug 08,https://www.vgchartz.com/games/game.php?id=14678&region=All
Space Invaders,Atari,2.53m,2.36m,0.14m,N/A,0.03m,01st Jan 78,https://www.vgchartz.com/games/game.php?id=19714&region=All
Art Academy,Nintendo,2.52m,0.26m,1.66m,0.33m,0.27m,25th Oct 10,https://www.vgchartz.com/games/game.php?id=45454&region=All
Crazy Taxi,Acclaim Entertainment,2.52m,1.13m,1.12m,0.06m,0.22m,14th May 01,https://www.vgchartz.com/games/game.php?id=6219&region=All
Perfect Dark,Rare,2.52m,1.55m,0.75m,0.16m,0.06m,22nd May 00,https://www.vgchartz.com/games/game.php?id=1724&region=All
Dragon Warrior,Nintendo,2.52m,0.49m,N/A,0.52m,1.51m,01st Aug 89,https://www.vgchartz.com/games/game.php?id=6236&region=All
Tomb Raider (2013),Square Enix,2.51m,0.60m,1.45m,0.08m,0.38m,05th Mar 13,https://www.vgchartz.com/games/game.php?id=70428&region=All
Deca Sports,Hudson Soft,2.50m,1.11m,0.86m,0.29m,0.25m,13th May 08,https://www.vgchartz.com/games/game.php?id=18524&region=All
Midnight Club: Los Angeles,Rockstar Games,2.50m,1.59m,0.54m,0.05m,0.33m,20th Oct 08,https://www.vgchartz.com/games/game.php?id=13115&region=All
PES 2009: Pro Evolution Soccer,Konami,2.50m,0.13m,0.07m,0.26m,2.05m,11th Nov 08,https://www.vgchartz.com/games/game.php?id=26633&region=All
Mario Party 2,Nintendo,2.50m,1.28m,0.14m,1.08m,0.01m,24th Jan 00,https://www.vgchartz.com/games/game.php?id=1257&region=All
The Legend of Zelda: Majora's Mask 3D,Nintendo,2.50m,1.20m,0.64m,0.48m,0.18m,13th Feb 15,https://www.vgchartz.com/games/game.php?id=85055&region=All
Marvel: Ultimate Alliance,Activision,2.50m,2.29m,0.02m,N/A,0.19m,24th Oct 06,https://www.vgchartz.com/games/game.php?id=5328&region=All
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Rockstar Games,2.49m,1.84m,0.56m,N/A,0.09m,31st Oct 03,https://www.vgchartz.com/games/game.php?id=6284&region=All
NBA 2K15,2K Sports,2.49m,1.49m,0.55m,0.01m,0.44m,07th Oct 14,https://www.vgchartz.com/games/game.php?id=78587&region=All
Game Party,Midway Games,2.49m,1.47m,0.77m,N/A,0.24m,27th Nov 07,https://www.vgchartz.com/games/game.php?id=12985&region=All
Mortal Kombat: Deadly Alliance,Midway Games,2.49m,1.81m,0.52m,N/A,0.15m,16th Nov 02,https://www.vgchartz.com/games/game.php?id=5386&region=All
Saints Row: The Third,THQ,2.48m,0.86m,1.06m,0.18m,0.37m,15th Nov 11,https://www.vgchartz.com/games/game.php?id=33322&region=All
Tomb Raider: The Last Revelation,Eidos Interactive,2.48m,1.15m,1.14m,0.06m,0.13m,22nd Nov 99,https://www.vgchartz.com/games/game.php?id=6507&region=All
Assassin's Creed Origins,Ubisoft,2.47m,1.34m,0.92m,N/A,0.22m,27th Oct 17,https://www.vgchartz.com/games/game.php?id=181688&region=All
Pure,Disney Interactive Studios,2.47m,1.38m,0.84m,0.00m,0.25m,16th Sep 08,https://www.vgchartz.com/games/game.php?id=21906&region=All
Mario Party 4,Nintendo,2.47m,1.13m,0.36m,0.92m,0.07m,21st Oct 02,https://www.vgchartz.com/games/game.php?id=1259&region=All
Rock Band,MTV Games,2.47m,1.93m,0.33m,N/A,0.21m,20th Nov 07,https://www.vgchartz.com/games/game.php?id=6965&region=All
Minecraft,Sony Computer Entertainment America,2.47m,0.22m,0.73m,1.25m,0.27m,11th Nov 14,https://www.vgchartz.com/games/game.php?id=75584&region=All
Resistance 2,Sony Computer Entertainment,2.47m,1.15m,0.84m,0.10m,0.38m,04th Nov 08,https://www.vgchartz.com/games/game.php?id=15255&region=All
Madden NFL 16,EA Sports,2.47m,2.13m,0.08m,N/A,0.26m,25th Aug 15,https://www.vgchartz.com/games/game.php?id=85397&region=All
1-2-Switch,Nintendo,2.46m,0.62m,1.20m,0.50m,0.15m,03rd Mar 17,https://www.vgchartz.com/games/game.php?id=153115&region=All
Dying Light,Warner Bros. Interactive,2.45m,1.18m,0.74m,0.13m,0.40m,27th Jan 15,https://www.vgchartz.com/games/game.php?id=72235&region=All
Final Fantasy Tactics,Sony Computer Entertainment,2.45m,0.93m,0.12m,1.34m,0.06m,28th Jan 98,https://www.vgchartz.com/games/game.php?id=754&region=All
Final Fantasy V,Square,2.45m,N/A,N/A,2.43m,0.02m,06th Dec 92,https://www.vgchartz.com/games/game.php?id=3317&region=All
LEGO Harry Potter: Years 1-4,Warner Bros. Interactive,2.45m,1.29m,0.94m,N/A,0.22m,29th Jun 10,https://www.vgchartz.com/games/game.php?id=35012&region=All
uDraw Studio,THQ,2.44m,1.65m,0.58m,N/A,0.21m,14th Nov 10,https://www.vgchartz.com/games/game.php?id=46823&region=All
Madden NFL 17,EA Sports,2.44m,2.14m,0.04m,N/A,0.26m,23rd Aug 16,https://www.vgchartz.com/games/game.php?id=86432&region=All
Twisted Metal 2,Sony Computer Entertainment,2.44m,2.12m,0.25m,N/A,0.07m,31st Oct 96,https://www.vgchartz.com/games/game.php?id=2549&region=All
Yokai Watch Blasters: Red Cat Corps / White Dog Squad,Nintendo,2.44m,0.07m,0.05m,2.30m,0.01m,07th Sep 18,https://www.vgchartz.com/games/game.php?id=85786&region=All
The Sims: Bustin' Out,Electronic Arts,2.43m,1.07m,1.19m,N/A,0.18m,15th Dec 03,https://www.vgchartz.com/games/game.php?id=5852&region=All
Riven: The Sequel to Myst,Red Orb,2.43m,1.52m,0.82m,N/A,0.10m,29th Oct 97,https://www.vgchartz.com/games/game.php?id=6410&region=All
Need for Speed Carbon: Own the City,Electronic Arts,2.42m,0.87m,0.97m,N/A,0.58m,31st Oct 06,https://www.vgchartz.com/games/game.php?id=5484&region=All
New Super Luigi U,Nintendo,2.42m,1.25m,0.75m,0.22m,0.20m,25th Aug 13,https://www.vgchartz.com/games/game.php?id=72208&region=All
Ice Hockey,Nintendo,2.42m,1.27m,0.32m,0.78m,0.05m,01st Mar 88,https://www.vgchartz.com/games/game.php?id=6299&region=All
Sonic Adventure,Sega,2.42m,1.26m,0.61m,0.46m,0.08m,09th Sep 99,https://www.vgchartz.com/games/game.php?id=2101&region=All
Tom Clancy's Rainbow Six: Vegas 2,Ubisoft,2.42m,1.56m,0.61m,0.02m,0.23m,18th Mar 08,https://www.vgchartz.com/games/game.php?id=15674&region=All
Dark Souls III,Namco Bandai Games,2.42m,1.00m,0.63m,0.44m,0.34m,12th Apr 16,https://www.vgchartz.com/games/game.php?id=85669&region=All
Dragon Ball Z: Budokai 2,Atari,2.41m,1.63m,0.22m,0.51m,0.06m,04th Dec 03,https://www.vgchartz.com/games/game.php?id=5030&region=All
Kinect: Disneyland Adventures,Microsoft Studios,2.41m,1.73m,0.43m,0.02m,0.23m,15th Nov 11,https://www.vgchartz.com/games/game.php?id=51748&region=All
Pro Evolution Soccer 2011,Konami,2.41m,0.29m,1.18m,0.54m,0.41m,05th Oct 10,https://www.vgchartz.com/games/game.php?id=43332&region=All
ATV Offroad Fury,Sony Computer Entertainment,2.41m,2.07m,0.26m,N/A,0.08m,05th Feb 01,https://www.vgchartz.com/games/game.php?id=6196&region=All
Dino Crisis,Capcom,2.41m,0.81m,0.76m,0.70m,0.14m,31st Aug 99,https://www.vgchartz.com/games/game.php?id=3095&region=All
NBA 2K16,2K Sports,2.41m,2.01m,0.15m,N/A,0.25m,29th Sep 15,https://www.vgchartz.com/games/game.php?id=85555&region=All
Halo: Combat Evolved Anniversary,Microsoft Studios,2.41m,1.44m,0.71m,0.04m,0.22m,15th Nov 11,https://www.vgchartz.com/games/game.php?id=51759&region=All
Need for Speed: ProStreet,Electronic Arts,2.41m,0.69m,0.00m,0.04m,1.68m,13th Nov 07,https://www.vgchartz.com/games/game.php?id=12753&region=All
Paper Mario: Sticker Star,Nintendo,2.41m,1.12m,0.49m,0.64m,0.15m,11th Nov 12,https://www.vgchartz.com/games/game.php?id=70588&region=All
Tetris Plus,Jaleco,2.40m,2.10m,0.24m,N/A,0.07m,18th Oct 96,https://www.vgchartz.com/games/game.php?id=2371&region=All
Forza Motorsport 5,Microsoft Studios,2.40m,1.28m,0.90m,0.01m,0.21m,22nd Nov 13,https://www.vgchartz.com/games/game.php?id=72222&region=All
Midnight Club: Los Angeles,Rockstar Games,2.40m,1.72m,0.45m,0.01m,0.22m,20th Oct 08,https://www.vgchartz.com/games/game.php?id=14168&region=All
Mario Party: Island Tour,Nintendo,2.40m,0.66m,1.04m,0.56m,0.14m,22nd Nov 13,https://www.vgchartz.com/games/game.php?id=75427&region=All
Pro Wrestling,Nintendo,2.40m,0.77m,0.18m,1.42m,0.03m,01st Mar 87,https://www.vgchartz.com/games/game.php?id=6399&region=All
Theme Hospital,Electronic Arts,2.40m,2.30m,0.10m,N/A,N/A,31st Mar 97,https://www.vgchartz.com/games/game.php?id=6497&region=All
God of War: Ascension,Sony Computer Entertainment,2.40m,1.23m,0.72m,0.04m,0.41m,12th Mar 13,https://www.vgchartz.com/games/game.php?id=70705&region=All
