Game,Publisher,TotalSales,NASales,PALSales,JPSales,OtherSales,ReleaseDate,LinkToPage
Call of Duty: Modern Warfare 2,Activision,13.53m,8.54m,3.63m,0.08m,1.28m,10th Nov 09,https://www.vgchartz.com/games/game.php?id=28848&region=All
Call of Duty: WWII,Activision,13.40m,4.67m,6.21m,0.40m,2.12m,03rd Nov 17,https://www.vgchartz.com/games/game.php?id=170599&region=All
Call of Duty: Modern Warfare 3,Activision,13.35m,5.54m,5.78m,0.49m,1.54m,08th Nov 11,https://www.vgchartz.com/games/game.php?id=44605&region=All
Grand Theft Auto III,Rockstar Games,13.10m,6.99m,4.51m,0.30m,1.30m,23rd Oct 01,https://www.vgchartz.com/games/game.php?id=891&region=All
Mario Kart 8 Deluxe,Nintendo,13.05m,5.05m,4.98m,2.11m,0.91m,28th Apr 17,https://www.vgchartz.com/games/game.php?id=153114&region=All
Super Smash Bros. Brawl,Nintendo,12.91m,6.64m,2.57m,2.67m,1.03m,09th Mar 08,https://www.vgchartz.com/games/game.php?id=6962&region=All
Pokémon Omega Ruby/Pokémon Alpha Sapphire,Nintendo,12.73m,4.78m,3.98m,3.15m,0.82m,21st Nov 14,https://www.vgchartz.com/games/game.php?id=81906&region=All
Call of Duty: Black Ops,Activision,12.67m,6.01m,4.40m,0.48m,1.78m,09th Nov 10,https://www.vgchartz.com/games/game.php?id=44951&region=All
Animal Crossing: Wild World,Nintendo,12.14m,2.50m,3.46m,5.33m,0.86m,05th Dec 05,https://www.vgchartz.com/games/game.php?id=82&region=All
Halo 3,Microsoft Game Studios,12.13m,7.97m,2.81m,0.13m,1.21m,25th Sep 07,https://www.vgchartz.com/games/game.php?id=6964&region=All
Super Mario 64,Nintendo,11.89m,6.91m,2.85m,1.91m,0.23m,26th Sep 96,https://www.vgchartz.com/games/game.php?id=2278&region=All
FIFA 18,EA Sports,11.80m,1.27m,8.64m,0.15m,1.73m,29th Sep 17,https://www.vgchartz.com/games/game.php?id=180525&region=All
Pokémon Heart Gold / Soul Silver Version,Nintendo,11.78m,4.34m,2.72m,3.96m,0.76m,14th Mar 10,https://www.vgchartz.com/games/game.php?id=34267&region=All
Super Mario Odyssey,Nintendo,11.71m,5.10m,3.75m,2.02m,0.84m,27th Oct 17,https://www.vgchartz.com/games/game.php?id=152831&region=All
Gran Turismo 4,Sony Computer Entertainment,11.66m,3.01m,0.01m,1.10m,7.53m,22nd Feb 05,https://www.vgchartz.com/games/game.php?id=887&region=All
Super Mario 3D Land,Nintendo,11.56m,5.10m,3.46m,2.15m,0.85m,13th Nov 11,https://www.vgchartz.com/games/game.php?id=50395&region=All
Super Mario Galaxy,Nintendo,11.40m,6.06m,3.38m,1.20m,0.76m,12th Nov 07,https://www.vgchartz.com/games/game.php?id=6963&region=All
New Super Mario Bros. 2,Nintendo,11.33m,3.95m,4.07m,2.59m,0.72m,19th Aug 12,https://www.vgchartz.com/games/game.php?id=70735&region=All
Super Mario Land 2: 6 Golden Coins,Nintendo,11.18m,6.16m,2.04m,2.69m,0.29m,02nd Nov 92,https://www.vgchartz.com/games/game.php?id=4437&region=All
Grand Theft Auto IV,Rockstar Games,11.09m,6.80m,3.11m,0.14m,1.04m,29th Apr 08,https://www.vgchartz.com/games/game.php?id=7103&region=All
